Type,fid,event,timestamp,position,start_fid,start_timestamp,start_position,end_fid,end_timestamp,end_position,speed,ball_type,publish_time
Event,629,2,12198.515,"[-0.439, 2.987, 1.926]",,,,,,,,,13:25:16.232
Segment,,,,,629,12198.515,"[-0.439, 2.987, 1.926]",778,12199.757,"[0.288, -1.855, 2.807]","[1.527, -9.533, 11.344]",exception,13:25:21.230
Event,779,1,12199.765,"[0.288, -1.895, 2.727]",,,,,,,,,13:25:21.231
Segment,,,,,779,12199.765,"[0.288, -1.895, 2.727]",791,12199.865,"[-0.114, -0.723, 1.834]","[-2.17, 5.364, -6.982]",exception,13:25:21.384
Event,791,3,12199.865,"[-0.114, -0.723, 1.834]",,,,,,,,,13:25:21.385
Event,1901,2,12209.117,"[-0.406, -2.197, 1.596]",,,,,,,,,13:25:29.311
Segment,,,,,1901,12209.117,"[-0.406, -2.197, 1.596]",2138,12211.093,"[-1.014, 1.953, 1.649]","[-1.248, 8.213, 0.003]",exception,13:25:32.284
Event,2164,1,12211.31,"[-0.847, 1.463, 1.925]",,,,,,,,,13:25:32.284
Segment,,,,,2164,12211.31,"[-0.847, 1.463, 1.925]",2367,12213.002,"[0.127, -2.202, 0.429]","[1.325, -5.468, 10.216]",exception,13:25:38.110
Event,2367,3,12213.002,"[0.127, -2.202, 0.429]",,,,,,,,,13:25:38.110
Event,2776,2,12216.411,"[0.883, -2.344, 0.858]",,,,,,,,,13:25:38.485
Segment,,,,,2776,12216.411,"[0.883, -2.344, 0.858]",2952,12217.878,"[-0.953, 5.457, 2.276]","[-5.416, 22.087, 21.136]",lift,13:25:40.472
Event,2953,1,12217.886,"[-0.953, 5.472, 2.245]",,,,,,,,,13:25:40.653
Segment,,,,,2953,12217.886,"[-0.953, 5.472, 2.245]",3139,12219.436,"[0.106, -2.498, 2.008]","[2.815, -20.3, 16.016]",drop,13:25:42.284
Event,3141,1,12219.453,"[0.096, -2.47, 1.962]",,,,,,,,,13:25:42.285
Segment,,,,,3141,12219.453,"[0.096, -2.47, 1.962]",3311,12220.87,"[-1.729, 5.149, 2.045]","[-4.848, 19.405, 14.545]",exception,13:25:44.146
Event,3312,1,12220.878,"[-1.732, 5.132, 2.029]",,,,,,,,,13:25:44.146
Segment,,,,,3312,12220.878,"[-1.732, 5.132, 2.029]",3451,12222.037,"[-1.976, -3.413, 1.895]","[-0.416, -27.171, 11.338]",drop,13:25:49.888
Event,3451,3,12222.037,"[-1.976, -3.413, 1.895]",,,,,,,,,13:25:49.888
Event,4823,2,12233.473,"[-0.648, 2.396, 2.233]",,,,,,,,,13:25:59.097
Segment,,,,,4823,12233.473,"[-0.648, 2.396, 2.233]",4982,12234.798,"[0.837, -2.675, 2.704]","[2.933, -9.931, 11.588]",drop,13:26:01.561
Event,4997,1,12234.923,"[0.36, 0.308, 1.667]",,,,,,,,,13:26:01.561
Segment,,,,,4997,12234.923,"[0.36, 0.308, 1.667]",5017,12235.09,"[-0.045, 2.952, 0.933]","[-4.718, 32.102, -7.801]",exception,13:26:05.126
Event,5017,3,12235.09,"[-0.045, 2.952, 0.933]",,,,,,,,,13:26:05.127
Event,5862,2,12242.133,"[-0.297, 1.435, 2.768]",,,,,,,,,13:26:09.631
Segment,,,,,5862,12242.133,"[-0.297, 1.435, 2.768]",5982,12243.133,"[0.42, -2.726, 2.591]","[1.476, -7.93, 6.222]",exception,13:26:11.449
Event,5990,1,12243.2,"[0.112, -1.539, 2.159]",,,,,,,,,13:26:15.806
Segment,,,,,5990,12243.2,"[0.112, -1.539, 2.159]",6013,12243.392,"[-0.867, 2.666, 1.214]","[-9.37, 39.814, -7.831]",drive,13:26:16.380
Event,6013,3,12243.392,"[-0.867, 2.666, 1.214]",,,,,,,,,13:26:16.381
Event,7244,2,12253.652,"[0.388, 0.7, 1.749]",,,,,,,,,13:26:23.784
Segment,,,,,7244,12253.652,"[0.388, 0.7, 1.749]",7299,12254.111,"[0.916, -1.614, 2.261]","[1.58, -6.74, 4.05]",net,13:26:24.572
Event,7301,1,12254.127,"[0.92, -1.619, 2.248]",,,,,,,,,13:26:24.572
Segment,,,,,7301,12254.127,"[0.92, -1.619, 2.248]",7379,12254.777,"[0.113, 1.868, 1.319]","[-2.052, 8.668, 1.462]",net,13:26:25.864
Event,7395,1,12254.911,"[-0.022, 1.22, 1.757]",,,,,,,,,13:26:25.864
Segment,,,,,7395,12254.911,"[-0.022, 1.22, 1.757]",7533,12256.061,"[-0.961, -4.523, 2.467]","[-2.032, -12.846, 10.765]",exception,13:26:27.958
Event,7539,1,12256.111,"[-0.749, -1.842, 1.818]",,,,,,,,,13:26:28.137
Segment,,,,,7539,12256.111,"[-0.749, -1.842, 1.818]",7651,12257.045,"[-3.382, 2.503, 0.291]","[-5.847, 8.416, 2.941]",drive,13:26:32.741
Event,7651,3,12257.045,"[-3.382, 2.503, 0.291]",,,,,,,,,13:26:32.741
Event,9488,2,12272.356,"[0.247, 1.082, 1.71]",,,,,,,,,13:26:46.721
Segment,,,,,9488,12272.356,"[0.247, 1.082, 1.71]",9593,12273.231,"[0.94, -2.249, 0.956]","[1.325, -6.277, 3.754]",drive,13:26:48.105
Event,9594,1,12273.24,"[0.947, -2.292, 0.872]",,,,,,,,,13:26:48.105
Segment,,,,,9594,12273.24,"[0.947, -2.292, 0.872]",9746,12274.507,"[-0.276, 1.708, 1.886]","[-2.156, 6.593, 10.616]",exception,13:26:49.682
Event,9747,1,12274.515,"[-0.281, 1.728, 1.848]",,,,,,,,,13:26:49.863
Segment,,,,,9747,12274.515,"[-0.281, 1.728, 1.848]",9901,12275.799,"[-1.937, -6.499, 0.303]","[-4.325, -22.513, 7.881]",push,13:26:55.054
Event,9901,3,12275.799,"[-1.937, -6.499, 0.303]",,,,,,,,,13:26:55.054
